,Id,imdbId,primaryTitle,startYear,runtimeMinutes,IMDB Score,Genre
2146,2146,1595061,Unraveled,2011,84,6.1,3
2272,2272,171135,Brown's Requiem,1998,104,5.9,2
1782,1782,815236,She's Out of My League,2010,104,6.4,1
2346,2346,192069,Gendernauts: A Journey Through Shifting Identities,1999,87,5.8,3
2956,2956,174336,Whipped,2000,82,4.4,1
654,654,2567712,Starred Up,2013,106,7.4,2
2250,2250,3859980,Mohenjo Daro,2016,155,6.0,0
1715,1715,3501046,A Tale of Two Thieves,2014,72,6.5,3
1374,1374,3567200,The Great Invisible,2014,92,6.8,3
1911,1911,1487118,Chalet Girl,2011,97,6.3,1
559,559,120056,Die Salzm???nner von Tibet,1997,108,7.4,3
417,417,1421032,Disco and Atomic War,2009,80,7.6,3
1332,1332,1206543,Out of the Furnace,2013,116,6.8,2
1356,1356,2091476,Vintage Tomorrows,2015,70,6.8,3
1860,1860,120512,Wild America,1997,106,6.3,0
2026,2026,1758830,This Is 40,2012,134,6.2,1
1162,1162,119051,The Edge,1997,117,6.9,0
991,991,1158308,Profit Motive and the Whispering Wind,2007,58,7.1,3
685,685,116859,The Leopard Son,1996,87,7.3,3
1998,1998,488023,Out at the Wedding,2007,96,6.2,1
2880,2880,368343,Three Way,2004,88,4.8,2
2841,2841,2945796,The Rise of the Krays,2015,110,5.0,2
1239,1239,2592336,Whatcha Wearin'?,2012,114,6.9,1
883,883,1394383,Blood Into Wine,2010,100,7.2,3
1519,1519,202909,A Hole in the Head,1998,54,6.6,3
2688,2688,212742,After Alice,2000,100,5.3,2
82,82,3146408,Wavemakers,2012,96,8.2,3
1831,1831,2784678,Top Five,2014,102,6.4,1
318,318,1650416,Kapitalism: Our Improved Formula,2010,80,7.7,3
2182,2182,115862,The Chamber,1996,113,6.0,2
1560,1560,1217631,Just a Father,2008,89,6.6,1
886,886,1495768,Future My Love,2012,97,7.2,3
2208,2208,340110,Fat Pizza,2003,96,6.0,0
2578,2578,219400,Waking Up in Reno,2002,91,5.5,1
41,41,5279042,Love Under New Management: The Miki Howard Story,2016,120,8.4,3
256,256,1579592,Kick,2009,155,7.8,1
2271,2271,169333,Trans,1998,80,5.9,2
1834,1834,3240784,Sneakerheadz,2015,73,6.4,3
1792,1792,1104783,Frontrunners,2008,83,6.4,3
522,522,1865425,Kumar???,2011,84,7.5,3
2397,2397,1965065,Save the Date,2012,97,5.8,1
3082,3082,466342,Date Movie,2006,83,2.7,1
2260,2260,102460,Mobsters,1991,104,5.9,2
119,119,2882328,Ugly,2013,128,8.1,2
2217,2217,875705,Lake City,2008,93,6.0,2
288,288,419677,Dead Man's Shoes,2004,90,7.7,2
823,823,235737,The Salton Sea,2002,103,7.2,2
1465,1465,1734433,Eden,2012,98,6.7,2
2374,2374,985119,Zincirbozan,2007,110,5.8,2
3020,3020,811138,The Love Guru,2008,87,3.8,1
651,651,2387601,The Special Need,2013,84,7.4,3
582,582,425637,Red Cliff,2008,146,7.4,0
2460,2460,1334512,Arthur,2011,110,5.7,1
985,985,969367,Cruel Winter Blues,2006,118,7.1,2
751,751,1385869,The Cross,2009,90,7.3,3
2938,2938,283160,Extreme Ops,2002,93,4.5,0
632,632,1662557,No Mercy,2010,125,7.4,2
2347,2347,192071,Get Over It,2001,87,5.8,1
133,133,301727,Winged Migration,2001,98,8.0,3
1268,1268,115536,Love Can Seriously Damage Your Health,1996,117,6.8,1
1496,1496,5151716,Tony Robbins: I Am Not Your Guru,2016,115,6.7,3
1991,1991,417225,Idlewild,2006,121,6.2,2
2778,2778,3626742,Ocho apellidos catalanes,2015,99,5.2,1
2498,2498,235532,Laissons Lucie faire!,2000,91,5.6,1
63,63,4413794,Homeland (Iraq Year Zero),2015,334,8.3,3
380,380,408306,Munich,2005,164,7.6,2
2664,2664,2294729,Mansome,2012,82,5.4,3
754,754,1523980,Sins of My Father,2009,94,7.3,3
2458,2458,1153698,Love Simple,2009,85,5.7,1
1102,1102,1228705,Iron Man 2,2010,124,7.0,0
549,549,101588,City of Hope,1991,129,7.4,2
2882,2882,467110,Underdog,2007,84,4.8,0
763,763,1710542,"Bicicleta, cullera, poma",2010,96,7.3,3
2645,2645,380420,Freshman Orientation,2004,92,5.4,1
1647,1647,342143,Born Rich,2003,75,6.5,3
2901,2901,116934,Lover's Knot,1995,82,4.7,1
1012,1012,1541153,Radio Unnameable,2012,87,7.1,3
179,179,828154,The Pervert's Guide to Cinema,2006,150,7.9,3
1314,1314,869155,"All Blossoms Again: Pedro Costa, Director",2006,78,6.8,3
1127,1127,2204371,Somm,2012,94,7.0,3
2339,2339,110463,Dr. Wai in the Scriptures with No Words,1996,91,5.8,0
1476,1476,2347411,Koch Brothers Exposed,2012,56,6.7,3
542,542,4254838,Tyke Elephant Outlaw,2015,78,7.5,3
2514,2514,427229,Failure to Launch,2006,97,5.6,1
959,959,339489,Palabras encadenadas,2003,89,7.1,2
2974,2974,2043971,Real Playing Game,2013,103,4.3,0
1763,1763,283503,Brooklyn Rules,2007,99,6.4,2
72,72,463028,The Gits,2005,82,8.2,3
2080,2080,119548,Little City,1997,90,6.1,1
1514,1514,138353,Cement,2000,97,6.6,2
1508,1508,116378,The Funeral,1996,99,6.6,2
574,574,319371,Forbidden Grass,2002,95,7.4,3
778,778,2320029,Seeking Asian Female,2012,82,7.3,3
293,293,452623,Gone Baby Gone,2007,114,7.7,2
2038,2038,2286990,The Right Kind of Wrong,2013,97,6.2,1
671,671,4967094,Our Times,2015,134,7.4,1
3060,3060,1594917,Age of the Dragons,2011,91,3.4,0
852,852,949770,The Red Elvis,2007,90,7.2,3
422,422,1633175,Carts of Darkness,2008,60,7.6,3
867,867,1185600,"Suddenly, Last Winter",2008,85,7.2,3
478,478,354575,The Five Obstructions,2003,90,7.5,3
1548,1548,499448,The Chronicles of Narnia: Prince Caspian,2008,150,6.6,0
483,483,385002,Green Street Hooligans,2005,109,7.5,2
1614,1614,102951,Soapdish,1991,97,6.5,1
640,640,1872194,The Judge,2014,141,7.4,2
1667,1667,845464,On the Edge,2006,88,6.5,2
84,84,3784160,Valley Uprising,2014,103,8.2,3
18,18,364484,Long Gone,2003,90,8.6,3
2173,2173,4382552,Hot Girls Wanted,2015,84,6.1,3
1034,1034,2322482,If You Build It,2013,85,7.1,3
1187,1187,409673,Les aimants,2004,91,6.9,1
1982,1982,300471,Shanghai Knights,2003,114,6.2,0
2999,2999,105213,Raiders of the Sun,1992,80,4.0,0
1490,1490,3907674,Pelican Dreams,2014,80,6.7,3
206,206,4434004,Udta Punjab,2016,148,7.9,2
603,603,1014799,Holy Wars,2010,84,7.4,3
415,415,1355640,The Shock Doctrine,2009,79,7.6,3
2406,2406,2537390,Slow Learners,2015,96,5.8,1
1855,1855,117998,Twister,1996,113,6.3,0
919,919,4082068,Dheepan,2015,115,7.2,2
2980,2980,167456,Thunderbirds,2004,95,4.2,0
850,850,847474,Cinematographer Style,2006,86,7.2,3
1260,1260,106673,Dave,1993,110,6.8,1
2486,2486,4247738,A Field Full of Secrets,2014,122,5.7,3
78,78,1781069,Zeitgeist: Moving Forward,2011,161,8.2,3
1724,1724,4503900,Thought Crimes: The Case of the Cannibal Cop,2015,81,6.5,3
2976,2976,3398066,Christian Mingle,2014,103,4.3,1
568,568,290673,Irreversible,2002,97,7.4,2
1410,1410,262414,Fellini Narrates: A Discovered Self-Portrait,2000,68,6.7,3
1569,1569,1620466,Groupies bleiben nicht zum Fr??¬hst??¬ck,2010,103,6.6,1
1256,1256,105275,Romper Stomper,1992,94,6.8,2
2774,2774,2304933,The 5th Wave,2016,112,5.2,0
1088,1088,482088,Priceless,2006,106,7.0,1
2538,2538,1527626,H.O.T. Human Organ Traffic,2009,62,5.6,3
768,768,1800241,American Hustle,2013,138,7.3,2
1786,1786,1008010,The Narrows,2008,106,6.4,2
2249,2249,3833746,The Visit: An Alien Encounter,2015,83,6.0,3
22,22,116231,The Bandit,1996,128,8.5,2
1896,1896,929261,The Restless,2006,105,6.3,0
1103,1103,1278480,Zombie Girl: The Movie,2009,89,7.0,3
1482,1482,3103326,Manakamana,2013,118,6.7,3
1532,1532,398017,Derailed,2005,108,6.6,2
848,848,775438,"Buy the Ticket, Take the Ride: Hunter S. Thompson on Film",2006,73,7.2,3
2713,2713,1461249,Meskada,2010,98,5.3,2
2101,2101,283999,The Climb,2002,98,6.1,0
2231,2231,1604231,The Kiss of Evil,2011,94,6.0,2
285,285,380758,Hush!,2003,82,7.7,3
2029,2029,1815717,Gerontophilia,2013,82,6.2,1
2736,2736,102216,King Ralph,1991,97,5.2,1
1579,1579,1826730,Captivated: The Trials of Pamela Smart,2014,98,6.6,3
2573,2573,119522,Letters from a Killer,1998,104,5.5,2
2929,2929,1861334,Fuga de cerebros 2,2011,106,4.6,1
2131,2131,988595,27 Dresses,2008,111,6.1,1
695,695,166791,Schwarze Sonne,1998,90,7.3,3
1904,1904,1339635,Beetle Queen Conquers Tokyo,2009,90,6.3,3
350,350,99674,The Godfather: Part III,1990,162,7.6,2
1246,1246,3402110,Tazza: The Hidden Card,2014,147,6.9,2
2986,2986,1043726,The Legend of Hercules,2014,99,4.2,0
2388,2388,1640548,Rampart,2011,108,5.8,2
523,523,1874513,God Loves Uganda,2013,83,7.5,3
480,480,359203,"Easy Riders, Raging Bulls: How the Sex, Drugs and Rock 'N' Roll Generation Saved Hollywood",2003,119,7.5,3
1694,1694,1747958,Blood Ties,2013,127,6.5,2
776,776,2177843,We Are Legion: The Story of the Hacktivists,2012,93,7.3,3
2424,2424,116225,Escape from L.A.,1996,101,5.7,0
2955,2955,150176,Coming Soon,1999,96,4.4,1
807,807,106579,"Clean, Shaven",1993,79,7.2,2
660,660,3039472,Return to Return to Nuke 'Em High Aka Vol. 2,2017,85,7.4,0
2433,2433,184858,Reindeer Games,2000,104,5.7,0
2965,2965,3622332,Sword of Vengeance,2015,87,4.4,0
427,427,1836183,The Harmony Game,2011,72,7.6,3
667,667,4185572,The Hunting Ground,2015,103,7.4,3
2587,2587,424993,Employee of the Month,2006,103,5.5,1
2418,2418,106309,Army of One,1993,106,5.7,0
250,250,1437235,Mugabe and the White African,2009,90,7.8,3
538,538,3645982,The Newburgh Sting,2014,87,7.5,3
61,61,2146960,Vazhakku Enn 18/9,2012,124,8.3,2
249,249,1433816,Metastases,2009,82,7.8,2
1963,1963,119311,Hoodlum,1997,130,6.2,2
2118,2118,473910,Try Me,2006,90,6.1,1
300,300,858492,Vikramarkudu,2006,140,7.7,0
1920,1920,1813327,The Salt of Life,2011,90,6.3,1
1971,1971,151582,The Minus Man,1999,111,6.2,2
2701,2701,448400,Grimm Love,2006,87,5.3,2
507,507,1242460,We Need to Talk About Kevin,2011,112,7.5,2
334,334,2630916,Pump,2014,88,7.7,3
1318,1318,968760,Our City Dreams,2008,85,6.8,3
2641,2641,305396,The Crocodile Hunter: Collision Course,2002,90,5.4,0
2823,2823,167427,Superstar,1999,81,5.0,1
1402,1402,162556,Why Not Me?,1999,96,6.7,1
2533,2533,1095174,New in Town,2009,97,5.6,1
3006,3006,1137470,Accidental Love,2015,100,4.0,1
2583,2583,346491,Alexander,2004,175,5.5,0
482,482,367975,Lisbela and the Prisoner,2003,106,7.5,1
1997,1997,479528,Rogue,2007,99,6.2,0
566,566,261184,Come Look at Me,2001,102,7.4,1
1315,1315,920473,Shall We Kiss?,2007,96,6.8,1
1029,1029,2062969,Sister,2012,97,7.1,2
2186,2186,117724,Squeeze,1997,102,6.0,2
1612,1612,99850,Internal Affairs,1990,115,6.5,2
2919,2919,104804,Man Trouble,1992,100,4.6,1
2873,2873,114622,The North Star,1996,90,4.8,0
1772,1772,377029,24 Hours on Craigslist,2005,82,6.4,3
2456,2456,1010248,Return of the Atom,2015,110,5.7,3
2421,2421,110623,Naked in New York,1993,95,5.7,1
2462,2462,1389127,Texas Killing Fields,2011,105,5.7,2
1609,1609,5071886,Kabali,2016,153,6.6,0
2379,2379,1421046,"No eres t??§, soy yo",2010,101,5.8,1
153,153,1877832,X-Men: Days of Future Past,2014,132,8.0,0
2095,2095,246460,Die Another Day,2002,133,6.1,0
2006,2006,901494,Life Is Hot in Cracktown,2009,99,6.2,2
39,39,4450170,"Return to the Philippines, the Leon Cooper Story",2015,65,8.4,3
3059,3059,284457,Samurai,2002,90,3.4,0
3057,3057,103617,Aces: Iron Eagle III,1992,98,3.4,0
588,588,478160,Into Great Silence,2005,169,7.4,3
2814,2814,3202890,Reclaim,2014,96,5.1,0
2677,2677,5456798,Mythica: The Iron Crown,2016,93,5.4,0
429,429,1845773,Ai Weiwei: Never Sorry,2012,91,7.6,3
316,316,1558250,GasLand,2010,107,7.7,3
2948,2948,3013160,Alien Arrival,2016,95,4.5,0
934,934,109855,Fun,1994,105,7.1,2
1125,1125,1981115,Thor: The Dark World,2013,112,7.0,0
2681,2681,116320,Fled,1996,98,5.3,0
2170,2170,3672840,Dragon Blade,2015,127,6.1,0
2276,2276,218864,Buying the Cow,2002,88,5.9,1
1412,1412,272022,Chain Camera,2001,90,6.7,3
2307,2307,1187046,Saving God,2008,101,5.9,2
2905,2905,246544,The Musketeer,2001,104,4.7,0
607,607,1111313,The Elephant in the Living Room,2010,96,7.4,3
548,548,99088,Back to the Future Part III,1990,118,7.4,0
1418,1418,327850,The Rundown,2003,104,6.7,0
629,629,1623757,Machete Maidens Unleashed!,2010,84,7.4,3
633,633,1682181,Bully,2011,98,7.4,3
2256,2256,99450,The Boyfriend School,1990,101,5.9,1
141,141,1013854,N???madak Tx,2006,89,8.0,3
1449,1449,1194173,The Bourne Legacy,2012,135,6.7,0
1644,1644,304328,Levity,2003,100,6.5,2
3034,3034,882755,"One, Two, Many",2008,88,3.7,1
620,620,1343113,A Mother's Courage: Talking Back to Autism,2009,103,7.4,3
2755,2755,314121,Mortadelo & Filemon: The Big Adventure,2003,107,5.2,0
1578,1578,1826714,Finding Mr. Destiny,2010,112,6.6,1
1262,1262,108059,La scorta,1993,96,6.8,2
1237,1237,2397471,Electile Dysfunction: Inside the Business of American Campaigns,2008,89,6.9,3
56,56,1029172,The War on Democracy,2007,96,8.3,3
1071,1071,281534,ABC Africa,2001,83,7.0,3
2868,2868,2119474,Maximum Conviction,2012,98,4.9,0
2286,2286,362129,Seeing Other People,2004,90,5.9,1
1300,1300,456121,Train Man,2005,105,6.8,1
2353,2353,243575,Speaking of Sex,2001,97,5.8,1
1910,1910,1459998,Lost and Found,2008,113,6.3,1
1536,1536,419477,A Bar at the Victoria Station,2004,55,6.6,3
2225,2225,1303833,Sophie's Revenge,2009,107,6.0,1
1234,1234,2118702,Patience (After Sebald),2012,86,6.9,3
758,758,1621642,Bangkok Traffic (Love) Story,2009,126,7.3,1
170,170,373856,Gangaajal,2003,157,7.9,2
2843,2843,5072350,Flowers of Evil,2016,105,5.0,2
514,514,1515091,Sherlock Holmes: A Game of Shadows,2011,129,7.5,0
649,649,2369331,Stuck,2013,90,7.4,3
2312,2312,1247662,The Good Guy,2009,90,5.9,1
1848,1848,101704,Delusion,1991,100,6.3,2
2909,2909,762105,I Hate Valentine's Day,2009,98,4.7,1
1755,1755,181852,Terminator 3: Rise of the Machines,2003,109,6.4,0
2719,2719,1919184,Vares: Tango of Darkness,2012,91,5.3,2
2135,2135,1074191,The Betrayed,2008,98,6.1,2
1269,1269,115899,The Cyclone,1996,93,6.8,1
1463,1463,1719634,Snow on Tha Bluff,2011,79,6.7,2
2876,2876,120151,A Smile Like Yours,1997,98,4.8,1
201,201,2872718,Nightcrawler,2014,117,7.9,2
1672,1672,1124388,Play the Game,2009,105,6.5,1
2676,2676,3824412,Results,2015,105,5.4,1
205,205,3685922,Lost Songs: The Basement Tapes Continued,2014,107,7.9,3
2083,2083,120912,Men in Black II,2002,88,6.1,0
79,79,1864253,Alias Ruby Blade,2012,78,8.2,3
641,641,1992193,Pandora's Promise,2013,87,7.4,3
1924,1924,1986843,Un plan parfait,2012,104,6.3,1
1787,1787,1020558,Centurion,2010,97,6.4,0
83,83,3661072,Giuseppe Makes a Movie,2014,82,8.2,3
267,267,109842,Fresh,1994,114,7.7,2
87,87,100332,Paris Is Burning,1990,71,8.1,3
2695,2695,266408,China Strike Force,2000,103,5.3,0
1365,1365,2404171,Altman,2014,96,6.8,3
53,53,495750,"Refugee All Stars, Sierra Leone's",2005,78,8.3,3
2961,2961,939684,The Workshop,2007,94,4.4,3
1200,1200,874421,Beijing Taxi,2010,78,6.9,3
1711,1711,2992146,Young Detective Dee: Rise of the Sea Dragon,2013,134,6.5,0
1456,1456,1446673,All In: The Poker Movie,2009,100,6.7,3
2952,2952,112895,Dr. Jekyll and Ms. Hyde,1995,90,4.4,1
1228,1228,1824254,We Steal Secrets: The Story of WikiLeaks,2013,130,6.9,3
2441,2441,305973,Sonny,2002,110,5.7,2
2811,2811,2072230,Attack on Titan: Part 1,2015,98,5.1,0
779,779,2385006,Jerusalem,2013,45,7.3,3
2299,2299,485985,Red Tails,2012,125,5.9,0
2777,2777,3610264,What Is Left?,2014,74,5.2,3
2097,2097,269341,Two Can Play That Game,2001,90,6.1,1
1685,1685,1414867,Why Did You Come to My House,2009,107,6.5,1
1,1,110912,Pulp Fiction,1994,154,8.9,2
791,791,3660770,Monkey Kingdom,2015,81,7.3,3
833,833,320661,Kingdom of Heaven,2005,144,7.2,0
3092,3092,473310,Ram Gopal Varma's Indian Flames,2007,171,1.9,0
2854,2854,222167,Lucky 13,2005,95,4.9,1
3050,3050,3816614,Turkey Shoot,2014,90,3.6,0
343,343,3845960,Cocaine Cowboys: Reloaded,2014,152,7.7,3
1399,1399,120746,The Mask of Zorro,1998,136,6.7,0
2856,2856,382561,Hair Show,2004,105,4.9,1
2815,2815,3903852,Vigilante Diaries,2016,107,5.1,0
1305,1305,478724,I Do,2006,90,6.8,1
876,876,1295068,Prodigal Sons,2008,86,7.2,3
1196,1196,498399,We Own the Night,2007,117,6.9,2
2450,2450,790723,Just Add Water,2008,95,5.7,1
969,969,436845,El tren de la memoria,2005,85,7.1,3
1607,1607,4683366,Wounded Once Again,2016,127,6.6,0
677,677,102488,Musuko,1991,121,7.3,1
351,351,99810,The Hunt for Red October,1990,135,7.6,0
1432,1432,482572,Pride and Glory,2008,130,6.7,2
1845,1845,5170428,The Dwarvenaut,2016,84,6.4,3
1838,1838,3554418,Khoobsurat,2014,130,6.4,1
2429,2429,139388,It Had to Be You,2000,96,5.7,1
1921,1921,1859650,To Rome with Love,2012,112,6.3,1
964,964,411674,Mondovino,2004,135,7.1,3
2069,2069,113756,Man of the Year,1995,86,6.1,1
2913,2913,1325723,Choose,2011,83,4.7,2
2089,2089,164810,Pipe Dream,2002,91,6.1,1
1443,1443,1095217,Bad Lieutenant: Port of Call New Orleans,2009,122,6.7,2
840,840,415127,The Man from London,2007,139,7.2,2
1146,1146,4333674,Hunterrr,2015,141,7.0,1
2218,2218,906777,La se??ñal,2007,95,6.0,2
2476,2476,2404645,The Men Next Door,2012,84,5.7,1
723,723,492931,The 11th Hour,2007,95,7.3,3
1968,1968,133412,Best Laid Plans,1999,92,6.2,2
2137,2137,1129442,Transporter 3,2008,104,6.1,0
839,839,388996,Heir to an Execution,2004,93,7.2,3
2358,2358,311429,The League of Extraordinary Gentlemen,2003,110,5.8,0
2172,2172,4176556,Two Friends,2015,100,6.1,1
1348,1348,1610518,Thorne: Sleepyhead,2010,44,6.8,2
108,108,1895587,Spotlight,2015,128,8.1,2
2883,2883,480271,Van Wilder 2: The Rise of Taj,2006,97,4.8,1
1795,1795,1172957,How to Live Forever,2009,92,6.4,3
1556,1556,1007028,Zack and Miri Make a Porno,2008,101,6.6,1
3078,3078,2784134,Battle for Skyark,2016,88,2.8,0
2253,2253,3951298,Army Dog,2016,90,6.0,0
1221,1221,1694015,Cool It,2010,87,6.9,3
2616,2616,3017412,Happy Ending,2014,135,5.5,1
772,772,2035599,"Pink Ribbons, Inc.",2011,97,7.3,3
1215,1215,1511532,Special When Lit,2009,97,6.9,3
504,504,1176727,The End of the Line,2009,85,7.5,3
615,615,1252486,The Garden,2008,80,7.4,3
235,235,852992,Prince Among Slaves,2007,58,7.8,3
1057,1057,103314,Dances with Dragon,1991,108,7.0,1
198,198,2125653,The House I Live In,2012,108,7.9,3
943,943,163563,Bullet Ballet,1998,87,7.1,2
2267,2267,118928,Dante's Peak,1997,108,5.9,0
2081,2081,120318,That Old Feeling,1997,105,6.1,1
2781,2781,109678,Drunken Master Killer,1994,91,5.1,0
336,336,2731398,Fifi Howls from Happiness,2013,96,7.7,3
2350,2350,209368,Strange Planet,1999,96,5.8,1
744,744,1292648,Plastic Planet,2009,95,7.3,3
721,721,478970,Ant-Man,2015,117,7.3,0
2323,2323,1658837,The Tall Man,2012,106,5.9,2
328,328,1951090,Quebrando o Tabu,2011,80,7.7,3
1529,1529,335563,Wonderland,2003,104,6.6,2
3062,3062,112408,Attack of the 60 Foot Centerfold,1995,84,3.3,0
1595,1595,2542368,Soof,2013,96,6.6,1
2113,2113,443559,Killshot,2008,95,6.1,2
1615,1615,104045,Daddy and the Muscle Academy,1991,58,6.5,3
2043,2043,2427502,Easy Money III: Life Deluxe,2013,127,6.2,2
672,672,5136700,Kareem: Minority of One,2015,90,7.4,3
3081,3081,360916,The Real Cancun,2003,96,2.7,3
2762,2762,490181,Mutant Chronicles,2008,111,5.2,0
2648,2648,446013,Pathfinder,2007,99,5.4,0
2726,2726,2974454,Down Here,2014,89,5.3,2
2850,2850,118127,Wedding Bell Blues,1996,102,4.9,1
972,972,473705,State of Play,2009,127,7.1,2
2534,2534,1133985,Green Lantern,2011,114,5.6,0
169,169,303394,Sister Helen,2002,90,7.9,3
1382,1382,4425064,Steve Jobs: The Man in the Machine,2015,128,6.8,3
2669,2669,2679552,I.T.,2016,95,5.4,2
2434,2434,202629,Tre colonne in cronaca,1990,100,5.7,2
258,258,1683876,Happy People: A Year in the Taiga,2010,90,7.8,3
2717,2717,1829012,Passion,2012,102,5.3,2
541,541,3986532,Tig,2015,95,7.5,3
1024,1024,1906518,Yes or No,2010,102,7.1,1
473,473,290334,X-Men 2,2003,134,7.5,0
2758,2758,361925,Welcome to Mooseport,2004,110,5.2,1
536,536,3514862,Street Fighter: Round One - Fight!,2009,68,7.5,0
2650,2650,479997,Season of the Witch,2011,95,5.4,0
1623,1623,119632,The MatchMaker,1997,97,6.5,1
1926,1926,2085910,Room 237,2012,102,6.3,3
895,895,1900893,Themis,2011,129,7.2,2
324,324,1859438,A Little Thing Called Love,2010,118,7.7,1
924,924,4935446,Heart of a Dog,2015,75,7.2,3
1543,1543,464762,Rules of Dating,2005,121,6.6,1
837,837,360717,King Kong,2005,187,7.2,0
714,714,425379,I'm the Angel of Death: Pusher III,2005,90,7.3,2
1811,1811,1382323,Phyllis and Harold,2008,85,6.4,3
2050,2050,2950236,The Living,2014,89,6.2,2
987,987,977649,Fall from Grace,2007,71,7.1,3
1014,1014,1584016,Catfish,2010,87,7.1,3
385,385,451094,Lady Vengeance,2005,115,7.6,2
2226,2226,1386741,Las viudas de los jueves,2009,122,6.0,2
2394,2394,1847584,Frozen Silence,2011,106,5.8,2
1151,1151,5653294,Flight Crew,2016,138,7.0,0
2121,2121,770703,What's Your Number?,2011,106,6.1,1
2970,2970,1275778,Questo piccolo grande amore,2009,110,4.3,1
69,69,379370,Maqbool,2003,132,8.2,2
636,636,1814836,Project Nim,2011,93,7.4,3
1637,1637,239986,Sidewalks of New York,2001,108,6.5,1
1760,1760,251127,How to Lose a Guy in 10 Days,2003,116,6.4,1
1043,1043,2753778,"The Death of ""Superman Lives"": What Happened?",2015,104,7.1,3
38,38,4430212,Drishyam,2015,163,8.4,2
131,131,220832,The Reality,1999,145,8.0,2
2580,2580,277296,The Scorpion King,2002,92,5.5,0
193,193,1631867,Edge of Tomorrow,2014,113,7.9,0
2582,2582,325703,Lara Croft Tomb Raider: The Cradle of Life,2003,117,5.5,0
2404,2404,2446192,Bronies: The Extremely Unexpected Adult Fans of My Little Pony,2012,90,5.8,3
525,525,1943873,You've Been Trumped,2011,79,7.5,3
112,112,2028530,Paradise Lost 3: Purgatory,2011,121,8.1,3
1425,1425,401244,The Baxter,2005,91,6.7,1
2793,2793,253867,The Sweetest Thing,2002,88,5.1,1
2602,2602,1238304,Table for Three,2009,93,5.5,1
2210,2210,388377,River Queen,2005,114,6.0,0
2086,2086,131356,Deseret,1995,82,6.1,3
2590,2590,775488,Illegal Tender,2007,108,5.5,2
1611,1611,6071534,Gringo: The Dangerous Life of John McAfee,2016,97,6.6,3
2567,2567,109744,Sunset Riders,1994,88,5.5,0
1144,1144,4239548,Deli Man,2014,92,7.0,3
2515,2515,439544,Dirty,2005,97,5.6,2
3042,3042,190374,Dungeons & Dragons,2000,107,3.6,0
2297,2297,480854,Stormforce,2006,117,5.9,0
2416,2416,104006,Consenting Adults,1992,99,5.7,2
1075,1075,342213,Comandante,2003,99,7.0,3
2785,2785,119872,The Peacekeeper,1997,98,5.1,0
968,968,434008,Election,2005,100,7.1,2
847,847,498329,We Live in Public,2009,91,7.2,3
707,707,360216,The Year of the Yao,2004,88,7.3,3
2743,2743,157472,Clockstoppers,2002,94,5.2,0
2689,2689,217630,Loser,2000,98,5.3,1
1692,1692,1615065,Savages,2012,131,6.5,2
1000,1000,1307861,American Grindhouse,2010,80,7.1,3
192,192,1543807,Shadows of Liberty,2012,93,7.9,3
752,752,1444306,Oblivion,2008,93,7.3,3
875,875,1289783,It's Hard Being Loved by Jerks,2008,110,7.2,3
2084,2084,121442,Koko Flanel,1990,95,6.1,1
1895,1895,881934,The Killing of John Lennon,2006,114,6.3,2
2569,2569,114783,Under the Gun,1995,90,5.5,0
311,311,1286798,Unmistaken Child,2008,102,7.7,3
2435,2435,205000,Deuce Bigalow: Male Gigolo,1999,88,5.7,1
3032,3032,120179,Speed 2: Cruise Control,1997,121,3.7,0
96,96,477348,No Country for Old Men,2007,122,8.1,2
965,965,418279,Transformers,2007,144,7.1,0
1530,1530,343172,What Alice Found,2003,96,6.6,2
1149,1149,5246328,How to Let Go of the World and Love All the Things Climate Can't Change,2016,127,7.0,3
1073,1073,318374,The Cooler,2003,101,7.0,2
240,240,1093824,Encounters at the End of the World,2007,99,7.8,3
1084,1084,473488,A Guide to Recognizing Your Saints,2006,100,7.0,2
29,29,1529331,Something's Gonna Live,2010,80,8.5,3
1393,1393,118636,Apt Pupil,1998,111,6.7,2
1094,1094,845046,Son of Rambow,2007,96,7.0,0
712,712,420509,The Aura,2005,134,7.3,2
1401,1401,145681,The Bone Collector,1999,118,6.7,2
1408,1408,250323,The Deep End,2001,101,6.7,2
2391,2391,1725986,Some Kind of Beautiful,2014,99,5.8,1
3004,3004,1051981,Another Gay Sequel: Gays Gone Wild!,2008,99,4.0,1
2281,2281,319531,I'll Sleep When I'm Dead,2003,103,5.9,2
230,230,481603,The Prince of Chess,2005,50,7.8,3
2985,2985,938283,The Last Airbender,2010,103,4.2,0
879,879,1327628,Whores' Glory,2011,110,7.2,3
1642,1642,298082,"Not for, or Against (Quite the Contrary)",2003,111,6.5,2
2694,2694,261289,Serving Sara,2002,99,5.3,1
424,424,1739304,Open Secret,2011,55,7.6,3
2444,2444,379487,The Seat Filler,2004,90,5.7,1
914,914,3492436,Pixadores,2014,93,7.2,3
1192,1192,428518,Fade to Black,2004,109,6.9,3
367,367,166169,Divorce Iranian Style,1998,80,7.6,3
935,935,111282,Stargate,1994,116,7.1,0
1733,1733,109433,Cinema of Vengeance,1994,85,6.4,3
664,664,4019578,Rege,2014,111,7.4,2
808,808,109731,L'Enfer,1994,102,7.2,2
1343,1343,1465487,Heartbreaker,2010,105,6.8,1
2511,2511,402378,Mr. Average,2006,90,5.6,1
148,148,1436553,"Back to the Garden, Flower Power Comes Full Circle",2009,70,8.0,3
